chunk,chunk[0]@0,0,1723823651485562521,1723823651485562521
chunk,chunk[0]@1,1,1723823651639121636,153559115
chunk,chunk[0]@2,2,1723823651839563563,200441927
chunk,chunk[0]@3,3,1723823652078542394,238978831
chunk,chunk[0]@4,4,1723823652244649846,166107452
chunk,chunk[0]@5,5,1723823652339914732,95264886
chunk,chunk[0]@6,6,1723823652439574053,99659321
chunk,chunk[0]@7,7,1723823652519764684,80190631
chunk,chunk[0]@8,8,1723823652640177366,120412682
chunk,chunk[0]@9,9,1723823652678860635,38683269
chunk,chunk[0]@10,10,1723823652800454199,121593564
chunk,chunk[0]@11,11,1723823652958958376,158504177
chunk,chunk[0]@12,12,1723823652998203846,39245470
chunk,chunk[0]@13,13,1723823653079361034,81157188
chunk,chunk[0]@14,14,1723823653243242385,163881351
chunk,chunk[0]@15,15,1723823653255693515,12451130
chunk,chunk[0]@16,16,1723823653276338593,20645078
chunk,chunk[0]@17,17,1723823653439482471,163143878
chunk,chunk[0]@18,18,1723823653442921079,3438608
chunk,chunk[0]@19,19,1723823653454930700,12009621
chunk,chunk[0]@20,20,1723823653639020559,184089859
chunk,chunk[0]@21,21,1723823653644257101,5236542
chunk,chunk[0]@22,22,1723823653655529333,11272232
chunk,chunk[0]@23,23,1723823653819847345,164318012
chunk,chunk[0]@24,24,1723823653880240704,60393359
chunk,chunk[0]@25,25,1723823653883580477,3339773
chunk,chunk[0]@26,26,1723823654004119677,120539200
chunk,chunk[0]@27,27,1723823654015539154,11419477
chunk,chunk[0]@28,28,1723823654080079236,64540082
chunk,chunk[0]@29,29,1723823654215745537,135666301
chunk,chunk[0]@30,30,1723823654242587972,26842435
chunk,chunk[0]@31,31,1723823654275269928,32681956
chunk,chunk[0]@32,32,1723823654282203657,6933729
chunk,chunk[0]@33,33,1723823654416257577,134053920
chunk,chunk[0]@34,34,1723823654441428542,25170965
chunk,chunk[0]@35,35,1723823654454083234,12654692
chunk,chunk[0]@36,36,1723823654492209953,38126719
chunk,chunk[0]@37,37,1723823654617017130,124807177
chunk,chunk[0]@38,38,1723823654642001075,24983945
chunk,chunk[0]@39,39,1723823654648690467,6689392
chunk,chunk[0]@40,40,1723823654663489745,14799278
chunk,chunk[0]@41,41,1723823654817502598,154012853
chunk,chunk[0]@42,42,1723823654840689459,23186861
chunk,chunk[0]@43,43,1723823654862929771,22240312
chunk,chunk[0]@44,44,1723823654891686696,28756925
chunk,chunk[0]@45,45,1723823655015882470,124195774
chunk,chunk[0]@46,46,1723823655041941421,26058951
chunk,chunk[0]@47,47,1723823655063470807,21529386
chunk,chunk[0]@48,48,1723823655091911230,28440423
chunk,chunk[0]@49,49,1723823655176489579,84578349
chunk,chunk[0]@50,50,1723823655223751271,47261692
chunk,chunk[0]@51,51,1723823655241204955,17453684
chunk,chunk[0]@52,52,1723823655285288884,44083929
chunk,chunk[0]@53,53,1723823655332854042,47565158
chunk,chunk[0]@54,54,1723823655417838595,84984553
chunk,chunk[0]@55,55,1723823655426211656,8373061
chunk,chunk[0]@56,56,1723823655441225233,15013577
chunk,chunk[0]@57,57,1723823655448120095,6894862
chunk,chunk[0]@58,58,1723823655490426676,42306581
chunk,chunk[0]@59,59,1723823655616710308,126283632
chunk,chunk[0]@60,60,1723823655624125969,7415661
chunk,chunk[0]@61,61,1723823655641110672,16984703
chunk,chunk[0]@62,62,1723823655648701566,7590894
chunk,chunk[0]@63,63,1723823655690332495,41630929
chunk,chunk[0]@64,64,1723823655816806455,126473960
chunk,chunk[0]@65,65,1723823655826782404,9975949
chunk,chunk[0]@66,66,1723823655841051730,14269326
